"lang" 
{ 
"Language" "schinese" 
"Tokens" 
{
	"nmo_fema_objective4"	"修复保险丝盒来打开紧急逃生门。"
	"nmo_fema_objective5"	"寻找 ID 卡并用它解除道路尽头的大门锁定。"
	"nmo_fema_objective7"	"使用电脑上的密码进入冷藏室。"
	"nmo_fema_objective8"	"寻找发电机室，并重新打开无线电的电源。"
	"nmo_fema_objective9"	"寻找发电机室，并使用无线电发送求救信号。"
	"nmo_fema_objective10"	"找到音响后在广播室播放Bub军士长的语音，以便获取冷藏室的解锁密码。"
	"nmo_fema_objective11"	"回收逆转录病毒疫苗。"
	"nmo_fema_objective12"	"将滤毒罐安装在基地内的指定位置。"
	"nmo_fema_objective13"	"在消杀程序启动前逃离地下基地。"
	"nmo_fema_objective14"	"在找到爆炸物后炸开隔离大门。"
	"nmo_fema_objective15"	"使用拖车内的无线电呼叫救援。"
	"nmo_fema_objective16"	"想办法切断带电水坑的电源。"
	"nmo_fema_objective17"	"寻找阀门，并用其打开木制栅栏的闸门。"
	"nmo_fema_objective18"	"寻找爆炸物，并用其爆破通往地下的岩石堆。"
	"nmo_fema_objective19"	"在前面寻找爆炸物，并用其爆破挡路的岩石堆。"
	"nmo_fema_objective20"	"寻找通往地面的通道，并用焊枪焊开上锁的梯子。"
	"nmo_fema_objective21"	"在拿到钥匙后前往停机坪。"
	"nmo_fema_objective24"	"把疫苗放置在保险箱内。"
	"nmo_fema_objective25"	"将保险箱带到军方直升机的空投物资上。"
	"nmo_fema_objective28"	"前往控制室，启动病毒消杀程序。"
	"nmo_fema_objective29"	"穿过闸门，然后解开运货车之间的铁链。"
	"nmo_fema_objective30"	"回收储藏柜内的疫苗。"
	"nmo_fema_objective27"	"在Captain上尉房间内寻找钥匙并打开军械库。"
	"nmo_fema_Objective31"	"破坏大门，到隔离室外面去。"
	"nmo_fema_Objective32"	"寻找保险丝并重新启动位于通讯站的发电机。"
	"nmo_fema_Objective33"	"使用无线电发送救援信号。"
	"nmo_fema_Objective34"	"将加油枪插入直升机的油箱。"
	"nmo_fema_Objective35"	"使用加油枪，为直升机添加柴油。"
	"nmo_fema_Objective36"	"在找到焊枪后焊开隔离大门的三重锁定。"
	"nmo_fema_Objective37"	"寻找梯子并用它潜入基地隔离区。"
	"nmo_fema_msg1"		"消杀程序正开始倒计时"
	"nmo_fema_30sec"	"距离程序启动还剩 30 秒。"
	"nmo_fema_20sec"	"距离程序启动还剩 20 秒。"
	"nmo_fema_10sec"	"距离程序启动还剩 10 秒。"
	"nmo_fema_5sec"		"距离程序启动仅剩最后 5 秒。"
	"nmo_fema_kill"		"病毒消杀程序启动中..."
}
